Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
26,Brunei Darussalam,866,Cattle,5608,Import Quantity,2018,2018,Head,5889,NA
26,Brunei Darussalam,866,Cattle,5908,Export Quantity,2018,2018,Head,6,NA
26,Brunei Darussalam,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,2028,NA
26,Brunei Darussalam,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,854,NA
26,Brunei Darussalam,1016,Goats,5608,Import Quantity,2018,2018,Head,4,NA
26,Brunei Darussalam,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,0,NA
26,Brunei Darussalam,976,Sheep,5608,Import Quantity,2018,2018,Head,73,NA
26,Brunei Darussalam,976,Sheep,5908,Export Quantity,2018,2018,Head,15,NA
26,Brunei Darussalam,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,6,NA
27,Bulgaria,866,Cattle,5608,Import Quantity,2018,2018,Head,7185,NA
27,Bulgaria,866,Cattle,5908,Export Quantity,2018,2018,Head,32195,NA
27,Bulgaria,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,2391,NA
27,Bulgaria,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,29914,NA
27,Bulgaria,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,825,NA
27,Bulgaria,1068,Ducks,5909,Export Quantity,2018,2018,1000 Head,12,NA
27,Bulgaria,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,6349,NA
27,Bulgaria,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,15346,NA
27,Bulgaria,1016,Goats,5608,Import Quantity,2018,2018,Head,9,NA
27,Bulgaria,1016,Goats,5908,Export Quantity,2018,2018,Head,284,NA
27,Bulgaria,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,1,NA
27,Bulgaria,1034,Pigs,5608,Import Quantity,2018,2018,Head,24247,NA
27,Bulgaria,1034,Pigs,5908,Export Quantity,2018,2018,Head,31778,NA
27,Bulgaria,976,Sheep,5608,Import Quantity,2018,2018,Head,169414,NA
27,Bulgaria,976,Sheep,5908,Export Quantity,2018,2018,Head,15772,NA
233,Burkina Faso,866,Cattle,5608,Import Quantity,2018,2018,Head,2,Im
233,Burkina Faso,866,Cattle,5908,Export Quantity,2018,2018,Head,2347,Im
233,Burkina Faso,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,187,Im
233,Burkina Faso,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,250,F
233,Burkina Faso,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,1,Im
233,Burkina Faso,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,98,NA
233,Burkina Faso,1016,Goats,5608,Import Quantity,2018,2018,Head,0,NA
233,Burkina Faso,1016,Goats,5908,Export Quantity,2018,2018,Head,200000,F
233,Burkina Faso,1034,Pigs,5608,Import Quantity,2018,2018,Head,0,NA
233,Burkina Faso,976,Sheep,5608,Import Quantity,2018,2018,Head,186,Im
233,Burkina Faso,976,Sheep,5908,Export Quantity,2018,2018,Head,15238,Im
233,Burkina Faso,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,7,Im
29,Burundi,866,Cattle,5608,Import Quantity,2018,2018,Head,1934,NA
29,Burundi,866,Cattle,5908,Export Quantity,2018,2018,Head,45,NA
29,Burundi,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,31,NA
29,Burundi,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,9,NA
29,Burundi,1016,Goats,5608,Import Quantity,2018,2018,Head,20,Im
29,Burundi,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,0,NA
29,Burundi,1034,Pigs,5608,Import Quantity,2018,2018,Head,11,NA
29,Burundi,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,6,NA
35,Cabo Verde,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,165,NA
35,Cabo Verde,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,258,NA
35,Cabo Verde,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,18,NA
115,Cambodia,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,3935,Im
115,Cambodia,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,0,*
115,Cambodia,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,29,R
